%Alpha[deg]   c[m]     y/(b/2)   Xle/Cr    Clstaz    Cl_bas    Cl_add    Ccl/cavg    Cmac2d
  10.14985   2.15293   0.64500   0.12778   1.18857  -0.01412   1.20269   1.10703  -0.04986
  10.14985   2.13707   0.65500   0.13148   1.18646  -0.01424   1.20070   1.09692  -0.05014
  10.14985   2.12121   0.66500   0.13519   1.18409  -0.01436   1.19845   1.08662  -0.05043
  10.14985   2.10536   0.67500   0.13889   1.18146  -0.01447   1.19593   1.07610  -0.05071
  10.14985   2.08950   0.68500   0.14259   1.17854  -0.01456   1.19310   1.06535  -0.05100
  10.14985   2.07364   0.69500   0.14630   1.17531  -0.01465   1.18996   1.05437  -0.05129
  10.14985   2.05779   0.70500   0.15000   1.17175  -0.01473   1.18648   1.04313  -0.05157
  10.14985   2.04193   0.71500   0.15370   1.16782  -0.01480   1.18262   1.03163  -0.05186
  10.14985   2.02607   0.72500   0.15741   1.16350  -0.01485   1.17836   1.01983  -0.05214
  10.14985   2.01021   0.73500   0.16111   1.15875  -0.01490   1.17365   1.00772  -0.05243
  10.14985   1.99436   0.74500   0.16481   1.15354  -0.01494   1.16848   0.99527  -0.05271
  10.14985   1.97850   0.75500   0.16852   1.14781  -0.01496   1.16278   0.98246  -0.05300
  10.14985   1.96264   0.76500   0.17222   1.14153  -0.01498   1.15651   0.96925  -0.05329
  10.14985   1.94679   0.77500   0.17593   1.13463  -0.01498   1.14961   0.95560  -0.05357
  10.14985   1.93093   0.78500   0.17963   1.12705  -0.01496   1.14202   0.94149  -0.05386
  10.14985   1.91507   0.79500   0.18333   1.11872  -0.01494   1.13366   0.92686  -0.05414
  10.14985   1.89921   0.80500   0.18704   1.10956  -0.01490   1.12446   0.91166  -0.05443
  10.14985   1.88336   0.81500   0.19074   1.09948  -0.01484   1.11431   0.89583  -0.05471
  10.14985   1.86750   0.82500   0.19444   1.08836  -0.01476   1.10312   0.87930  -0.05500
  10.14985   1.85164   0.83500   0.19815   1.07607  -0.01466   1.09074   0.86199  -0.05529
  10.14985   1.83579   0.84500   0.20185   1.06248  -0.01455   1.07702   0.84382  -0.05557
  10.14985   1.81993   0.85500   0.20556   1.04740  -0.01440   1.06180   0.82466  -0.05586
  10.14985   1.80407   0.86500   0.20926   1.03063  -0.01423   1.04486   0.80438  -0.05614
  10.14985   1.78821   0.87500   0.21296   1.01193  -0.01403   1.02596   0.78285  -0.05643
  10.14985   1.77236   0.88500   0.21667   0.99100  -0.01379   1.00479   0.75985  -0.05671
  10.14985   1.75650   0.89500   0.22037   0.96747  -0.01351   0.98098   0.73518  -0.05700
